No.,Time,Source,Destination,Protocol,Length,Info,Class
21,6.557840,10.10.10.37,224.0.0.251,MDNS,165,"Standard query 0x0000 ANY dcs-935l.local, 'QM' question ANY D-Link DCS-935L Configuration Utility._http._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 dcs-935l.local",D-LinkCam
22,6.557864,10.10.10.37,224.0.0.251,MDNS,165,"Standard query 0x0000 ANY dcs-935l.local, 'QM' question ANY D-Link DCS-935L Configuration Utility._http._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 dcs-935l.local",D-LinkCam
23,6.617973,10.10.10.37,224.0.0.251,MDNS,169,"Standard query 0x0000 ANY dcs-935l5b0e.local, 'QM' question ANY D-Link DCS-935L Configuration Utility._http._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 dcs-935l5b0e.local",D-LinkCam
24,6.617996,10.10.10.37,224.0.0.251,MDNS,169,"Standard query 0x0000 ANY dcs-935l5b0e.local, 'QM' question ANY D-Link DCS-935L Configuration Utility._http._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 dcs-935l5b0e.local",D-LinkCam
25,6.757810,10.10.10.37,224.0.0.251,MDNS,161,"Standard query 0x0000 ANY DCS-935L-B0C554255B0E.local, 'QM' question ANY D-Link HNAP Service._dhnap._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 DCS-935L-B0C554255B0E.local",D-LinkCam
26,6.757834,10.10.10.37,224.0.0.251,MDNS,161,"Standard query 0x0000 ANY DCS-935L-B0C554255B0E.local, 'QM' question ANY D-Link HNAP Service._dhnap._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 DCS-935L-B0C554255B0E.local",D-LinkCam
27,6.847956,10.10.10.37,224.0.0.251,MDNS,169,"Standard query 0x0000 ANY dcs-935l.local, 'QM' question ANY D-Link DCS-935L Configuration Utility (2)._http._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 dcs-935l.local",D-LinkCam
28,6.847980,10.10.10.37,224.0.0.251,MDNS,169,"Standard query 0x0000 ANY dcs-935l.local, 'QM' question ANY D-Link DCS-935L Configuration Utility (2)._http._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 dcs-935l.local",D-LinkCam
29,6.907921,10.10.10.37,224.0.0.251,MDNS,169,"Standard query 0x0000 ANY dcs-935l5b0e.local, 'QM' question ANY D-Link DCS-935L Configuration Utility._http._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 dcs-935l5b0e.local",D-LinkCam
30,6.907945,10.10.10.37,224.0.0.251,MDNS,169,"Standard query 0x0000 ANY dcs-935l5b0e.local, 'QM' question ANY D-Link DCS-935L Configuration Utility._http._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 dcs-935l5b0e.local",D-LinkCam
31,7.018033,10.10.10.37,224.0.0.251,MDNS,161,"Standard query 0x0000 ANY DCS-935L-B0C554255B0E.local, 'QM' question ANY D-Link HNAP Service._dhnap._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 DCS-935L-B0C554255B0E.local",D-LinkCam
32,7.018056,10.10.10.37,224.0.0.251,MDNS,161,"Standard query 0x0000 ANY DCS-935L-B0C554255B0E.local, 'QM' question ANY D-Link HNAP Service._dhnap._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 DCS-935L-B0C554255B0E.local",D-LinkCam
33,7.107830,10.10.10.37,224.0.0.251,MDNS,169,"Standard query 0x0000 ANY dcs-935l.local, 'QM' question ANY D-Link DCS-935L Configuration Utility (2)._http._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 dcs-935l.local",D-LinkCam
34,7.107855,10.10.10.37,224.0.0.251,MDNS,169,"Standard query 0x0000 ANY dcs-935l.local, 'QM' question ANY D-Link DCS-935L Configuration Utility (2)._http._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 dcs-935l.local",D-LinkCam
35,7.210038,10.10.10.37,224.0.0.251,MDNS,169,"Standard query 0x0000 ANY dcs-935l5b0e.local, 'QM' question ANY D-Link DCS-935L Configuration Utility._http._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 dcs-935l5b0e.local",D-LinkCam
36,7.210062,10.10.10.37,224.0.0.251,MDNS,169,"Standard query 0x0000 ANY dcs-935l5b0e.local, 'QM' question ANY D-Link DCS-935L Configuration Utility._http._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 dcs-935l5b0e.local",D-LinkCam
37,7.277969,10.10.10.37,224.0.0.251,MDNS,411,"Standard query response 0x0000 A, cache flush 10.10.10.37 PTR, cache flush DCS-935L-B0C554255B0E.local SRV, cache flush 0 0 80 DCS-935L-B0C554255B0E.local TXT, cache flush PTR _dhnap._tcp.local PTR D-Link HNAP Service._dhnap._tcp.local",D-LinkCam
38,7.277994,10.10.10.37,224.0.0.251,MDNS,411,"Standard query response 0x0000 A, cache flush 10.10.10.37 PTR, cache flush DCS-935L-B0C554255B0E.local SRV, cache flush 0 0 80 DCS-935L-B0C554255B0E.local TXT, cache flush PTR _dhnap._tcp.local PTR D-Link HNAP Service._dhnap._tcp.local",D-LinkCam
39,7.368695,10.10.10.37,224.0.0.251,MDNS,147,"Standard query 0x0000 ANY D-Link DCS-935L Configuration Utility (2)._http._tcp.local, 'QM' question SRV 0 0 80 dcs-935l.local",D-LinkCam
40,7.368718,10.10.10.37,224.0.0.251,MDNS,147,"Standard query 0x0000 ANY D-Link DCS-935L Configuration Utility (2)._http._tcp.local, 'QM' question SRV 0 0 80 dcs-935l.local",D-LinkCam
41,7.368961,10.10.10.37,224.0.0.251,MDNS,84,"Standard query response 0x0000 A, cache flush 10.10.10.37",D-LinkCam
42,7.368983,10.10.10.37,224.0.0.251,MDNS,84,"Standard query response 0x0000 A, cache flush 10.10.10.37",D-LinkCam
43,7.397965,10.10.10.37,224.0.0.22,IGMPv3,62,"Membership Report / Join group 224.0.0.252 for any sources / Join group 224.0.0.251 for any sources",D-LinkCam
44,7.397990,10.10.10.37,224.0.0.22,IGMPv3,62,"Membership Report / Join group 224.0.0.252 for any sources / Join group 224.0.0.251 for any sources",D-LinkCam
45,7.419391,10.10.10.37,239.255.255.250,SSDP,192,"NOTIFY * HTTP/1.1 ",D-LinkCam
46,7.419414,10.10.10.37,239.255.255.250,SSDP,192,"NOTIFY * HTTP/1.1 ",D-LinkCam
47,7.419655,10.10.10.37,239.255.255.250,SSDP,179,"NOTIFY * HTTP/1.1 ",D-LinkCam
48,7.419678,10.10.10.37,239.255.255.250,SSDP,179,"NOTIFY * HTTP/1.1 ",D-LinkCam
49,7.419757,10.10.10.37,239.255.255.250,SSDP,238,"NOTIFY * HTTP/1.1 ",D-LinkCam
50,7.419769,10.10.10.37,239.255.255.250,SSDP,238,"NOTIFY * HTTP/1.1 ",D-LinkCam
51,7.419914,10.10.10.37,239.255.255.250,SSDP,240,"NOTIFY * HTTP/1.1 ",D-LinkCam
52,7.419924,10.10.10.37,239.255.255.250,SSDP,240,"NOTIFY * HTTP/1.1 ",D-LinkCam
53,7.420076,10.10.10.37,239.255.255.250,SSDP,179,"NOTIFY * HTTP/1.1 ",D-LinkCam
54,7.420100,10.10.10.37,239.255.255.250,SSDP,179,"NOTIFY * HTTP/1.1 ",D-LinkCam
55,7.431517,10.10.10.37,239.255.255.250,SSDP,192,"NOTIFY * HTTP/1.1 ",D-LinkCam
56,7.431538,10.10.10.37,239.255.255.250,SSDP,192,"NOTIFY * HTTP/1.1 ",D-LinkCam
57,7.431665,10.10.10.37,239.255.255.250,SSDP,179,"NOTIFY * HTTP/1.1 ",D-LinkCam
58,7.431674,10.10.10.37,239.255.255.250,SSDP,179,"NOTIFY * HTTP/1.1 ",D-LinkCam
59,7.431817,10.10.10.37,239.255.255.250,SSDP,238,"NOTIFY * HTTP/1.1 ",D-LinkCam
60,7.431826,10.10.10.37,239.255.255.250,SSDP,238,"NOTIFY * HTTP/1.1 ",D-LinkCam
61,7.432026,10.10.10.37,239.255.255.250,SSDP,240,"NOTIFY * HTTP/1.1 ",D-LinkCam
62,7.432050,10.10.10.37,239.255.255.250,SSDP,240,"NOTIFY * HTTP/1.1 ",D-LinkCam
63,7.432075,10.10.10.37,239.255.255.250,SSDP,179,"NOTIFY * HTTP/1.1 ",D-LinkCam
64,7.432082,10.10.10.37,239.255.255.250,SSDP,179,"NOTIFY * HTTP/1.1 ",D-LinkCam
65,7.432271,10.10.10.37,239.255.255.250,SSDP,279,"NOTIFY * HTTP/1.1 ",D-LinkCam
66,7.432281,10.10.10.37,239.255.255.250,SSDP,279,"NOTIFY * HTTP/1.1 ",D-LinkCam
67,7.432431,10.10.10.37,239.255.255.250,SSDP,283,"NOTIFY * HTTP/1.1 ",D-LinkCam
68,7.432440,10.10.10.37,239.255.255.250,SSDP,283,"NOTIFY * HTTP/1.1 ",D-LinkCam
69,7.432581,10.10.10.37,239.255.255.250,SSDP,279,"NOTIFY * HTTP/1.1 ",D-LinkCam
70,7.432586,10.10.10.37,239.255.255.250,SSDP,279,"NOTIFY * HTTP/1.1 ",D-LinkCam
71,7.432741,10.10.10.37,239.255.255.250,SSDP,283,"NOTIFY * HTTP/1.1 ",D-LinkCam
72,7.432746,10.10.10.37,239.255.255.250,SSDP,283,"NOTIFY * HTTP/1.1 ",D-LinkCam
73,7.432898,10.10.10.37,239.255.255.250,SSDP,266,"NOTIFY * HTTP/1.1 ",D-LinkCam
74,7.432902,10.10.10.37,239.255.255.250,SSDP,266,"NOTIFY * HTTP/1.1 ",D-LinkCam
75,7.433061,10.10.10.37,239.255.255.250,SSDP,266,"NOTIFY * HTTP/1.1 ",D-LinkCam
76,7.433066,10.10.10.37,239.255.255.250,SSDP,266,"NOTIFY * HTTP/1.1 ",D-LinkCam
77,7.433230,10.10.10.37,239.255.255.250,SSDP,266,"NOTIFY * HTTP/1.1 ",D-LinkCam
78,7.433239,10.10.10.37,239.255.255.250,SSDP,266,"NOTIFY * HTTP/1.1 ",D-LinkCam
79,7.433380,10.10.10.37,239.255.255.250,SSDP,266,"NOTIFY * HTTP/1.1 ",D-LinkCam
80,7.433386,10.10.10.37,239.255.255.250,SSDP,266,"NOTIFY * HTTP/1.1 ",D-LinkCam
81,7.433552,10.10.10.37,239.255.255.250,SSDP,325,"NOTIFY * HTTP/1.1 ",D-LinkCam
82,7.433556,10.10.10.37,239.255.255.250,SSDP,325,"NOTIFY * HTTP/1.1 ",D-LinkCam
83,7.433721,10.10.10.37,239.255.255.250,SSDP,306,"NOTIFY * HTTP/1.1 ",D-LinkCam
84,7.433725,10.10.10.37,239.255.255.250,SSDP,306,"NOTIFY * HTTP/1.1 ",D-LinkCam
85,7.433891,10.10.10.37,239.255.255.250,SSDP,325,"NOTIFY * HTTP/1.1 ",D-LinkCam
86,7.433896,10.10.10.37,239.255.255.250,SSDP,325,"NOTIFY * HTTP/1.1 ",D-LinkCam
87,7.434035,10.10.10.37,239.255.255.250,SSDP,306,"NOTIFY * HTTP/1.1 ",D-LinkCam
88,7.434040,10.10.10.37,239.255.255.250,SSDP,306,"NOTIFY * HTTP/1.1 ",D-LinkCam
89,7.434203,10.10.10.37,239.255.255.250,SSDP,327,"NOTIFY * HTTP/1.1 ",D-LinkCam
90,7.434207,10.10.10.37,239.255.255.250,SSDP,327,"NOTIFY * HTTP/1.1 ",D-LinkCam
91,7.434389,10.10.10.37,239.255.255.250,SSDP,307,"NOTIFY * HTTP/1.1 ",D-LinkCam
92,7.434392,10.10.10.37,239.255.255.250,SSDP,307,"NOTIFY * HTTP/1.1 ",D-LinkCam
93,7.438714,10.10.10.37,224.0.0.22,IGMPv3,62,"Membership Report / Join group 239.255.255.250 for any sources / Join group 224.0.0.252 for any sources",D-LinkCam
94,7.438724,10.10.10.37,224.0.0.22,IGMPv3,62,"Membership Report / Join group 239.255.255.250 for any sources / Join group 224.0.0.252 for any sources",D-LinkCam
95,7.441486,10.10.10.37,239.255.255.250,SSDP,327,"NOTIFY * HTTP/1.1 ",D-LinkCam
96,7.441509,10.10.10.37,239.255.255.250,SSDP,327,"NOTIFY * HTTP/1.1 ",D-LinkCam
97,7.441572,10.10.10.37,239.255.255.250,SSDP,307,"NOTIFY * HTTP/1.1 ",D-LinkCam
98,7.441579,10.10.10.37,239.255.255.250,SSDP,307,"NOTIFY * HTTP/1.1 ",D-LinkCam
99,7.474740,10.10.10.37,224.0.0.251,MDNS,221,"Standard query response 0x0000 A, cache flush 10.10.10.37 SRV, cache flush 0 0 80 dcs-935l5b0e.local TXT, cache flush PTR _http._tcp.local PTR D-Link DCS-935L Configuration Utility._http._tcp.local",D-LinkCam
100,7.474763,10.10.10.37,224.0.0.251,MDNS,221,"Standard query response 0x0000 A, cache flush 10.10.10.37 SRV, cache flush 0 0 80 dcs-935l5b0e.local TXT, cache flush PTR _http._tcp.local PTR D-Link DCS-935L Configuration Utility._http._tcp.local",D-LinkCam
101,7.727934,10.10.10.37,224.0.0.251,MDNS,205,"Standard query response 0x0000 SRV, cache flush 0 0 80 dcs-935l.local TXT, cache flush PTR _http._tcp.local PTR D-Link DCS-935L Configuration Utility (2)._http._tcp.local",D-LinkCam
102,7.727954,10.10.10.37,224.0.0.251,MDNS,205,"Standard query response 0x0000 SRV, cache flush 0 0 80 dcs-935l.local TXT, cache flush PTR _http._tcp.local PTR D-Link DCS-935L Configuration Utility (2)._http._tcp.local",D-LinkCam
103,7.844771,10.10.10.37,10.10.10.1,DNS,74,"Standard query 0x0002 A ntp1.dlink.com",D-LinkCam
104,7.844865,10.10.10.1,10.10.10.37,DNS,106,"Standard query response 0x0002 A ntp1.dlink.com A 54.86.11.193 A 54.186.215.173",D-LinkCam
105,7.851093,10.10.10.37,54.86.11.193,NTP,90,"NTP Version 3, client",D-LinkCam
106,7.947987,54.86.11.193,10.10.10.37,NTP,90,"NTP Version 3, server",D-LinkCam
107,8.027867,10.10.10.37,224.0.0.251,MDNS,221,"Standard query response 0x0000 A, cache flush 10.10.10.37 SRV, cache flush 0 0 80 dcs-935l.local TXT, cache flush PTR _http._tcp.local PTR D-Link DCS-935L Configuration Utility (2)._http._tcp.local",D-LinkCam
108,8.027889,10.10.10.37,224.0.0.251,MDNS,221,"Standard query response 0x0000 A, cache flush 10.10.10.37 SRV, cache flush 0 0 80 dcs-935l.local TXT, cache flush PTR _http._tcp.local PTR D-Link DCS-935L Configuration Utility (2)._http._tcp.local",D-LinkCam
109,8.030590,10.10.10.37,224.0.0.251,MDNS,411,"Standard query response 0x0000 A, cache flush 10.10.10.37 PTR, cache flush DCS-935L-B0C554255B0E.local SRV, cache flush 0 0 80 DCS-935L-B0C554255B0E.local TXT, cache flush PTR _dhnap._tcp.local PTR D-Link HNAP Service._dhnap._tcp.local",D-LinkCam
110,8.030611,10.10.10.37,224.0.0.251,MDNS,411,"Standard query response 0x0000 A, cache flush 10.10.10.37 PTR, cache flush DCS-935L-B0C554255B0E.local SRV, cache flush 0 0 80 DCS-935L-B0C554255B0E.local TXT, cache flush PTR _dhnap._tcp.local PTR D-Link HNAP Service._dhnap._tcp.local",D-LinkCam
111,8.030745,10.10.10.37,224.0.0.251,MDNS,221,"Standard query response 0x0000 A, cache flush 10.10.10.37 SRV, cache flush 0 0 80 dcs-935l5b0e.local TXT, cache flush PTR _http._tcp.local PTR D-Link DCS-935L Configuration Utility._http._tcp.local",D-LinkCam
112,8.030754,10.10.10.37,224.0.0.251,MDNS,221,"Standard query response 0x0000 A, cache flush 10.10.10.37 SRV, cache flush 0 0 80 dcs-935l5b0e.local TXT, cache flush PTR _http._tcp.local PTR D-Link DCS-935L Configuration Utility._http._tcp.local",D-LinkCam
113,10.959317,10.10.10.28,10.10.10.37,TCP,74,"48910  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=703325 TSecr=0 WS=64",D-LinkCam
114,10.965610,10.10.10.37,10.10.10.28,TCP,74,"80  >  48910 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=4294950751 TSecr=703325 WS=2",D-LinkCam
115,10.966881,10.10.10.28,10.10.10.37,TCP,66,"48910  >  80 [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=703327 TSecr=4294950751",D-LinkCam
116,10.968391,10.10.10.28,10.10.10.37,HTTP/XML,759,"POST /HNAP1/ HTTP/1.1 ",D-LinkCam
117,10.978996,10.10.10.37,10.10.10.28,TCP,66,"80  >  48910 [ACK] Seq=1 Ack=694 Win=7178 Len=0 TSval=4294950752 TSecr=703327",D-LinkCam
118,11.033849,10.10.10.37,10.10.10.28,HTTP/XML,732,"HTTP/1.1 200 OK ",D-LinkCam
119,11.034197,10.10.10.37,10.10.10.28,TCP,66,"80  >  48910 [FIN, ACK] Seq=667 Ack=694 Win=7178 Len=0 TSval=4294950757 TSecr=703327",D-LinkCam
120,11.037572,10.10.10.28,10.10.10.37,TCP,66,"48910  >  80 [ACK] Seq=694 Ack=667 Win=88960 Len=0 TSval=703334 TSecr=4294950757",D-LinkCam
121,11.038823,10.10.10.28,10.10.10.37,TCP,66,"48910  >  80 [FIN, ACK] Seq=694 Ack=668 Win=88960 Len=0 TSval=703334 TSecr=4294950757",D-LinkCam
122,11.044119,10.10.10.37,10.10.10.28,TCP,66,"80  >  48910 [ACK] Seq=668 Ack=695 Win=7178 Len=0 TSval=4294950759 TSecr=703334",D-LinkCam
123,11.053641,10.10.10.28,10.10.10.37,TCP,74,"53619  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=703336 TSecr=0 WS=64",D-LinkCam
124,11.059671,10.10.10.37,10.10.10.28,TCP,74,"80  >  53619 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=4294950760 TSecr=703336 WS=2",D-LinkCam
125,11.060870,10.10.10.28,10.10.10.37,TCP,66,"53619  >  80 [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=703337 TSecr=4294950760",D-LinkCam
126,11.062351,10.10.10.28,10.10.10.37,HTTP/XML,869,"POST /HNAP1/ HTTP/1.1 ",D-LinkCam
127,11.069876,10.10.10.37,10.10.10.28,TCP,66,"80  >  53619 [ACK] Seq=1 Ack=804 Win=7398 Len=0 TSval=4294950761 TSecr=703337",D-LinkCam
128,11.266755,10.10.10.37,10.10.10.28,HTTP/XML,624,"HTTP/1.1 200 OK ",D-LinkCam
129,11.269016,10.10.10.37,10.10.10.28,TCP,66,"80  >  53619 [FIN, ACK] Seq=559 Ack=804 Win=7398 Len=0 TSval=4294950781 TSecr=703337",D-LinkCam
130,11.273468,10.10.10.28,10.10.10.37,TCP,66,"53619  >  80 [ACK] Seq=804 Ack=559 Win=88768 Len=0 TSval=703358 TSecr=4294950781",D-LinkCam
131,11.274752,10.10.10.28,10.10.10.37,TCP,66,"53619  >  80 [FIN, ACK] Seq=804 Ack=560 Win=88768 Len=0 TSval=703358 TSecr=4294950781",D-LinkCam
132,11.280366,10.10.10.37,10.10.10.28,TCP,66,"80  >  53619 [ACK] Seq=560 Ack=805 Win=7398 Len=0 TSval=4294950782 TSecr=703358",D-LinkCam
133,11.453627,10.10.10.37,239.255.255.250,SSDP,327,"NOTIFY * HTTP/1.1 ",D-LinkCam
134,11.453645,10.10.10.37,239.255.255.250,SSDP,327,"NOTIFY * HTTP/1.1 ",D-LinkCam
135,11.461322,10.10.10.37,239.255.255.250,SSDP,307,"NOTIFY * HTTP/1.1 ",D-LinkCam
136,11.461345,10.10.10.37,239.255.255.250,SSDP,307,"NOTIFY * HTTP/1.1 ",D-LinkCam
137,11.468909,10.10.10.37,239.255.255.250,SSDP,327,"NOTIFY * HTTP/1.1 ",D-LinkCam
138,11.468932,10.10.10.37,239.255.255.250,SSDP,327,"NOTIFY * HTTP/1.1 ",D-LinkCam
139,11.476256,10.10.10.37,239.255.255.250,SSDP,307,"NOTIFY * HTTP/1.1 ",D-LinkCam
140,11.476279,10.10.10.37,239.255.255.250,SSDP,307,"NOTIFY * HTTP/1.1 ",D-LinkCam
141,11.485904,10.10.10.37,239.255.255.250,SSDP,325,"NOTIFY * HTTP/1.1 ",D-LinkCam
142,11.485926,10.10.10.37,239.255.255.250,SSDP,325,"NOTIFY * HTTP/1.1 ",D-LinkCam
143,11.495074,10.10.10.37,239.255.255.250,SSDP,306,"NOTIFY * HTTP/1.1 ",D-LinkCam
144,11.495095,10.10.10.37,239.255.255.250,SSDP,306,"NOTIFY * HTTP/1.1 ",D-LinkCam
145,11.497880,10.10.10.37,239.255.255.250,SSDP,325,"NOTIFY * HTTP/1.1 ",D-LinkCam
146,11.497904,10.10.10.37,239.255.255.250,SSDP,325,"NOTIFY * HTTP/1.1 ",D-LinkCam
147,11.503006,10.10.10.37,239.255.255.250,SSDP,306,"NOTIFY * HTTP/1.1 ",D-LinkCam
148,11.503026,10.10.10.37,239.255.255.250,SSDP,306,"NOTIFY * HTTP/1.1 ",D-LinkCam
149,11.505589,10.10.10.37,239.255.255.250,SSDP,279,"NOTIFY * HTTP/1.1 ",D-LinkCam
150,11.505610,10.10.10.37,239.255.255.250,SSDP,279,"NOTIFY * HTTP/1.1 ",D-LinkCam
151,11.511833,10.10.10.37,239.255.255.250,SSDP,283,"NOTIFY * HTTP/1.1 ",D-LinkCam
152,11.511844,10.10.10.37,239.255.255.250,SSDP,283,"NOTIFY * HTTP/1.1 ",D-LinkCam
153,11.514421,10.10.10.37,239.255.255.250,SSDP,279,"NOTIFY * HTTP/1.1 ",D-LinkCam
154,11.514439,10.10.10.37,239.255.255.250,SSDP,279,"NOTIFY * HTTP/1.1 ",D-LinkCam
155,11.519131,10.10.10.37,239.255.255.250,SSDP,283,"NOTIFY * HTTP/1.1 ",D-LinkCam
156,11.519140,10.10.10.37,239.255.255.250,SSDP,283,"NOTIFY * HTTP/1.1 ",D-LinkCam
157,11.521659,10.10.10.37,239.255.255.250,SSDP,266,"NOTIFY * HTTP/1.1 ",D-LinkCam
158,11.521669,10.10.10.37,239.255.255.250,SSDP,266,"NOTIFY * HTTP/1.1 ",D-LinkCam
159,11.526305,10.10.10.37,239.255.255.250,SSDP,266,"NOTIFY * HTTP/1.1 ",D-LinkCam
160,11.526314,10.10.10.37,239.255.255.250,SSDP,266,"NOTIFY * HTTP/1.1 ",D-LinkCam
161,11.528836,10.10.10.37,239.255.255.250,SSDP,266,"NOTIFY * HTTP/1.1 ",D-LinkCam
162,11.528846,10.10.10.37,239.255.255.250,SSDP,266,"NOTIFY * HTTP/1.1 ",D-LinkCam
163,11.542911,10.10.10.37,239.255.255.250,SSDP,266,"NOTIFY * HTTP/1.1 ",D-LinkCam
164,11.542931,10.10.10.37,239.255.255.250,SSDP,266,"NOTIFY * HTTP/1.1 ",D-LinkCam
165,11.968296,10.10.10.37,255.255.255.255,UDP,359,"62976  >  62976 Len=317",D-LinkCam
166,11.968333,10.10.10.37,255.255.255.255,UDP,359,"62976  >  62976 Len=317",D-LinkCam
167,12.840171,10.10.10.37,224.0.0.22,IGMPv3,54,"Membership Report / Join group 239.255.255.250 for any sources",D-LinkCam
168,12.840194,10.10.10.37,224.0.0.22,IGMPv3,54,"Membership Report / Join group 239.255.255.250 for any sources",D-LinkCam
169,13.353750,10.10.10.37,10.10.10.1,DNS,78,"Standard query 0x0002 A signal.mydlink.com",D-LinkCam
